//,"Open/save this file as a standard CSV  <=>  comma (,) separated and double quotes ("") as text delimiter.",,,,,,,,,,,,,
//,You can safely insert commas or double quotes into data fields.,,,,,,,,,,,,,
//,"EXCEPTION: Don't insert a comma right after a double quote, since this terminates the field.",,,,,,,,,,,,,
//,"When editing with OO.org Calc, use the single quote (') for three-number-dates to circumvent automatic conversion.",,,,,,,,,,,,,
//,,,,,,,,,,,,,,
//!,gnuclad parses this correctly no matter in what order the nodes are. You can swap any lines.,,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
//!,"Empty lines get ignored, the first column controls the rest of the line:",,,,,,,,,,,,,
//!,"# = comment, N = node, C = connector, D = domain",,,,,,,,,,,,,
//!,"SVG = SVG image to include, PNG = PNG image to include",,,,,,,,,,,,,
//!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Nodes,,,,,,,,,,,,,
#,Name,Color,Parent,Start,Stop,Icon,Description,[Namechange,When,Description,[Namechange,When,Description,. . . ]]
N,Ikuno Dictus (JPN),#E515A8,Dictus (FRA),1987.4,2019.2,,,,,,,,,
N,Golden Sash (JPN),#E991CF,Dictus (FRA),1988.4,1994.3,,,,,,,,,
N,Mejiro Hiryu (JPN),#E991CF,,1972.5,1985.3,,,,,,,,,
N,Katsuragi Ace (JPN),#1548E5,,1980.4,2000.6,,,,,,,,,
N,Symboli Rudolf (JPN),#1548E5,,1981.5,2011.1,,,,,,,,,
N,Tokai Teio (JPN),#1548E5,Symboli Rudolf (JPN),1988.4,2013.8,,,,,,,,,
N,Tsurumaru Tsuyoshi (JPN),#1548E5,Symboli Rudolf (JPN),1995.4,,,,,,,,,,
N,Tony Bin (IRE),#A5D8EF,,1983.4,2000.3,,,,,,,,,
N,Winning Ticket (JPN),#1548E5,Tony Bin (IRE),1990.3,2023.2,,,,,,,,,
N,Irish Dance (JPN),#E991CF,Tony Bin (IRE),1990.3,2001.4,,,,,,,,,
N,Vega (JPN),#E991CF,Tony Bin (IRE),1990.3,1996.3,,,,,,,,,
N,Royce and Royce (JPN),#1548E5,Tony Bin (IRE),1990.3,1996.6,,,,,,,,,
N,North Flight (JPN),#E515A8,Tony Bin (IRE),1990.4,2018.1,,,,,,,,,
N,Sakura Chiotose O (JPN),#1548E5,Tony Bin (IRE),1990.5,2014.1,,,,,,,,,
N,Cinema Scope (JPN),#E991CF,Tony Bin (IRE),1993.5,2006.3,,,,,,,,,
N,Air Groove (JPN),#E515A8,Tony Bin (IRE),1993.6,2013.4,,,,,,,,,
N,Nihon Pillow Rose (JPN),#E991CF,Tony Bin (IRE),1996.5,2001.4,,,,,,,,,
N,Spring Ticket (JPN),#E991CF,Tony Bin (IRE),1997.5,2007.3,,,,,,,,,
N,Jungle Pocket (JPN),#1548E5,Tony Bin (IRE),1998.5,2021.3,,,,,,,,,
N,Tosen Jordan (JPN),#1548E5,Jungle Pocket (JPN),2006.4,,,,,,,,,,
N,Mejiro Ramonu (JPN),#E515A8,,1983.4,2005.9,,,,,,,,,
N,Tamamo Cross (JPN),#1548E5,,1984.5,2003.4,,,,,,,,,
N,Inari One (JPN),#1548E5,,1984.5,2016.2,,,,,,,,,
N,Oguri Cap (JPN),#1548E5,,1985.3,2010.7,,,,,,,,,
N,Yaeno Muteki (JPN),#1548E5,,1985.4,2014.3,,,,,,,,,
N,Warning (GB),#A5D8EF,,1985.4,2000.12,,,,,,,,,
N,Calstone Light O (JPN),#1548E5,Warning (GB),1998.5,2024.2,,,,,,,,,
N,Bamboo Memory (JPN),#1548E5,,1985.5,2007.8,,,,,,,,,
N,Super Creek (JPN),#1548E5,,1985.5,2010.8,,,,,,,,,
N,Mejiro Palmer (JPN),#1548E5,,1987.3,2012.4,,,,,,,,,
N,Mejiro McQueen (JPN),#1548E5,,1987.4,2006.4,,,,,,,,,
N,Oriental Art (JPN),#E991CF,Mejiro McQueen (JPN),1997.5,2008.5,,,,,,,,,
N,Point Flag (JPN),#E991CF,Mejiro McQueen (JPN),1998.3,2009.3,,,,,,,,,
N,Daiichi Ruby (JPN),#E515A8,,1987.4,2007.4,,,,,,,,,
N,Daitaku Helios (JPN),#1548E5,,1987.4,2008.12,,,,,,,,,
N,Ines Fujin (JPN),#1548E5,,1987.4,2004.4,,,,,,,,,
N,K.S.Miracle (USA),#1548E5,,1988.3,1991.12,,,,,,,,,
N,Twin Turbo (JPN),#1548E5,,1988.4,1998.1,,,,,,,,,
N,Nice Nature (JPN),#1548E5,,1988.4,2023.5,,,,,,,,,
N,Yamanin Zephyr (JPN),#1548E5,,1988.5,2017.5,,,,,,,,,
N,Rice Shower (JPN),#1548E5,,1989.3,1995.6,,,,,,,,,
N,Mihono Bourbon (JPN),#1548E5,,1989.4,2017.2,,,,,,,,,
N,Nishino Flower (JPN),#E515A8,,1989.4,2020.2,,,,,,,,,
N,Sakura Bakushin O (JPN),#1548E5,,1989.4,2011.4,,,,,,,,,
N,Sugar Heart (JPN),#E991CF,Sakura Bakushin O (JPN),2005.3,2012.3,,,,,,,,,
N,Kingmambo (USA),#A5D8EF,,1990.2,2016.1,,,,,,,,,
N,El Condor Pasa (USA),#1548E5,Kingmambo (USA),1995.3,2002.7,,,,,,,,,
N,King`s Best (USA),#A5D8EF,Kingmambo (USA),1997.1,2019.4,,,,,,,,,
N,Eishin Flash (JPN),#1548E5,King`s Best (USA),2007.3,,,,,,,,,,
N,King Kamehameha (JPN),#A5D8EF,Kingmambo (USA),2001.3,2019.8,,,,,,,,,
N,Lord Kanaloa (JPN),#A5D8EF,King Kamehameha (JPN),2008.3,,,,,,,,,,
N,Almond Eye (JPN),#E515A8,Lord Kanaloa (JPN),2015.3,,,,,,,,,,
N,Tsurumaru Onepiece (JPN),#E991CF,King Kamehameha (JPN),2008.3,2015.4,,,,,,,,,
N,Hokko Tarumae (JPN),#1548E5,King Kamehameha (JPN),2009.5,,,,,,,,,,
N,Duramente (JPN),#1548E5,King Kamehameha (JPN),2012.3,2021.8,,,,,,,,,
N,Biwa Hayahide (JPN),#1548E5,,1990.3,2020.6,,,,,,,,,
N,Yukino Bijin (JPN),#E515A8,,1990.3,2016.6,,,,,,,,,
N,Narita Taishin (JPN),#1548E5,,1990.6,2020.4,,,,,,,,,
N,Hishi Amazon (USA),#E515A8,,1991.3,2019.4,,,,,,,,,
N,Samson Big (JPN),#1548E5,,1991.4,2010.12,,,Fate unknown,2011.1,,,,,
N,Sakura Laurel (JPN),#1548E5,,1991.5,2020.1,,,,,,,,,
